"filename"	"text"	"span"	"code"
"caso_clinico_psiquiatria547"	"ni trabaja"	"711 721"	"SCTID: 73438004"
"caso_clinico_psiquiatria196"	"terminó su trabajo"	"2235 2253"	"SCTID: 73438004"
"caso_clinico_psiquiatria315"	"en situación de desempleo"	"244 269"	"SCTID: 73438004"
"caso_clinico_psiquiatria539"	"ninguna actividad formativa ni laboral"	"330 368"	"SCTID: 73438004"
"caso_clinico_psiquiatria494"	"no trabajaba"	"606 618"	"SCTID: 73438004"
"caso_clinico_psiquiatria538"	"No trabaja"	"631 641"	"SCTID: 73438004"
"caso_clinico_psiquiatria496"	"Nunca ha trabajado"	"589 607"	"SCTID: 73438004"
"caso_clinico_psiquiatria479"	"no había iniciado actividad laboral"	"574 609"	"SCTID: 73438004"
"caso_clinico_psiquiatria210"	"abandonó el trabajo"	"439 458"	"SCTID: 73438004"
"caso_clinico_psiquiatria455"	"no ha trabajado nunca"	"3161 3182"	"SCTID: 73438004"
"caso_clinico_psiquiatria515"	"no desarrolla actividad laboral"	"325 356"	"SCTID: 73438004"
"caso_clinico_psiquiatria513"	"en paro"	"1338 1345"	"SCTID: 73438004"
"caso_clinico_psiquiatria513"	"no trabajan"	"799 810"	"SCTID: 73438004"
"caso_clinico_psiquiatria201"	"en el paro"	"255 265"	"SCTID: 73438004"
"caso_clinico_psiquiatria176"	"Abandonó su actividad laboral"	"93 122"	"SCTID: 73438004"
"caso_clinico_psiquiatria521"	"en situación de desempleo"	"507 532"	"SCTID: 73438004"
"caso_clinico_psiquiatria473"	"abandonar su puesto de trabajo"	"3689 3719"	"SCTID: 73438004"
"caso_clinico_psiquiatria169"	"sin trabajar"	"1698 1710"	"SCTID: 73438004"
"caso_clinico_psiquiatria173"	"abandonó su trabajo"	"404 423"	"SCTID: 73438004"
"caso_clinico_psiquiatria492"	"Abandonó espontáneamente su trabajo"	"670 705"	"SCTID: 73438004"
"caso_clinico_psiquiatria492"	"sin trabajar"	"843 855"	"SCTID: 73438004"
"caso_clinico_psiquiatria495"	"despido"	"404 411"	"SCTID: 73438004"
"caso_clinico_psiquiatria447"	"despedido"	"839 848"	"SCTID: 73438004"
"caso_clinico_psiquiatria502"	"sin ocupación laboral"	"210 231"	"SCTID: 73438004"
"caso_clinico_psiquiatria143"	"sin actividad ocupacional"	"60 85"	"SCTID: 73438004"
"caso_clinico_psiquiatria432"	"pérdida de su empleo"	"1233 1253"	"SCTID: 73438004"
"caso_clinico_psiquiatria504"	"abandonar su actividad laboral habitual"	"1105 1144"	"SCTID: 73438004"
"caso_clinico_psiquiatria482"	"no trabaja"	"795 805"	"SCTID: 73438004"
"caso_clinico_psiquiatria162"	"en paro"	"199 206"	"SCTID: 73438004"
"caso_clinico_psiquiatria162"	"me despidieron"	"3330 3344"	"SCTID: 73438004"
"caso_clinico_psiquiatria203"	"abandonó posteriormente el trabajo"	"1013 1047"	"SCTID: 73438004"
"caso_clinico_psiquiatria224"	"negocio que abandona"	"132 152"	"SCTID: 73438004"
"caso_clinico_psiquiatria224"	"cese de actividad laboral"	"716 741"	"SCTID: 73438004"
"casos_clinicos_profesiones93"	"no trabaja"	"405 415"	"SCTID: 73438004"
"casos_clinicos_profesiones99"	"en paro"	"4687 4694"	"SCTID: 73438004"
"casos_clinicos_profesiones100"	"desempleado"	"141 152"	"SCTID: 73438004"
"casos_clinicos_profesiones100"	"desempleado"	"1670 1681"	"SCTID: 73438004"
"casos_clinicos_profesiones100"	"abandona el trabajo"	"5791 5810"	"SCTID: 73438004"
"casos_clinicos_profesiones100"	"desempleado"	"6441 6452"	"SCTID: 73438004"
"casos_clinicos_profesiones25"	"fue despedido"	"1243 1256"	"SCTID: 73438004"
"casos_clinicos_profesiones33"	"dejó su trabajo de tiempo completo"	"2543 2577"	"SCTID: 73438004"
"casos_clinicos_profesiones23"	"había perdido el trabajo"	"1198 1222"	"SCTID: 73438004"
"casos_clinicos_profesiones42"	"se quedó sin trabajo"	"2551 2571"	"SCTID: 73438004"
"casos_clinicos_infecciosas188"	"en situación de desempleo"	"784 809"	"SCTID: 73438004"
"casos_clinicos_infecciosas12"	"en situación de desempleo"	"843 868"	"SCTID: 73438004"
"caso_clinico_neurologia288"	"sin trabajo"	"988 999"	"SCTID: 73438004"
"caso_clinico_medtropical99"	"sin ocupación"	"116 129"	"SCTID: 73438004"
"caso_clinico_medtropical55"	"desempleado"	"778 789"	"SCTID: 73438004"
"S1579-699X2004000400002-1"	"decidió despedirse de la fábrica"	"1114 1146"	"SCTID: 73438004"
"S1579-699X2004000400002-1"	"desempleada"	"2300 2311"	"SCTID: 73438004"
"S0034-98872006001000013-1"	"abandono del lugar de trabajo"	"1506 1535"	"SCTID: 73438004"
"cc_onco925"	"desempleado"	"282 293"	"SCTID: 73438004"
"cc_onco1127"	"desempleado"	"170 181"	"SCTID: 73438004"
"cc_onco127"	"en paro"	"85 92"	"SCTID: 73438004"
"cc_onco802"	"desempleado"	"365 376"	"SCTID: 73438004"
"cc_onco1572"	"en paro"	"1780 1787"	"SCTID: 73438004"
"cc_onco968"	"en paro"	"70 77"	"SCTID: 73438004"
"caso_clinico_atencion_primaria162"	"en paro"	"1141 1148"	"SCTID: 73438004"
"caso_clinico_atencion_primaria172"	"en situación de desempleo"	"2532 2557"	"SCTID: 73438004"
"caso_clinico_atencion_primaria172"	"parado"	"2567 2573"	"SCTID: 73438004"
"caso_clinico_atencion_primaria161"	"en paro"	"1141 1148"	"SCTID: 73438004"
"caso_clinico_atencion_primaria21"	"desempleada"	"2629 2640"	"SCTID: 73438004"
"caso_clinico_atencion_primaria38"	"desempleado"	"1737 1748"	"SCTID: 73438004"
"caso_clinico_atencion_primaria87"	"no trabaja"	"2555 2565"	"SCTID: 73438004"
"caso_clinico_atencion_primaria144"	"en paro"	"1605 1612"	"SCTID: 73438004"
"caso_clinico_atencion_primaria187"	"en situación de paro"	"1670 1690"	"SCTID: 73438004"
"caso_clinico_alergologia148"	"Escolar"	"0 7"	"SCTID: 65853000"
"caso_clinico_psiquiatria122"	"estudiante"	"20 30"	"SCTID: 65853000"
"caso_clinico_psiquiatria122"	"estudiantes"	"123 134"	"SCTID: 65853000"
"caso_clinico_psiquiatria122"	"compañeros de clase"	"775 794"	"SCTID: 65853000"
"caso_clinico_psiquiatria125"	"en el colegio"	"1043 1056"	"SCTID: 65853000"
"caso_clinico_psiquiatria121"	"alumno"	"88 94"	"SCTID: 65853000"
"caso_clinico_psiquiatria96"	"estudiante"	"1411 1421"	"SCTID: 65853000"
"caso_clinico_psiquiatria98"	"Ha abandonado los estudios"	"1083 1109"	"SCTID: 65853000"
"caso_clinico_psiquiatria9"	"alumno"	"1006 1012"	"SCTID: 65853000"
"caso_clinico_psiquiatria9"	"alumno"	"2232 2238"	"SCTID: 65853000"
"caso_clinico_psiquiatria9"	"alumno"	"2305 2311"	"SCTID: 65853000"
"caso_clinico_psiquiatria97"	"retomar progresivamente la escolarización"	"1550 1591"	"SCTID: 65853000"
"caso_clinico_psiquiatria95"	"estudiantes"	"242 253"	"SCTID: 65853000"
"caso_clinico_psiquiatria95"	"alumnos de tercero de ESO"	"4811 4836"	"SCTID: 65853000"
"caso_clinico_psiquiatria92"	"estudiante"	"925 935"	"SCTID: 65853000"
"caso_clinico_psiquiatria92"	"en 1o de ESO"	"1052 1064"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"Termina el bachillerato"	"976 999"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"empieza estudios universitarios"	"1002 1033"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"estuvo en la Universidad"	"1290 1314"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"Decide irse a estudiar"	"1827 1849"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"intenta ir a clase"	"1955 1973"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"aceptó asistir a cursos de formación"	"5828 5864"	"SCTID: 65853000"
"caso_clinico_psiquiatria29"	"se matriculó en unos cursos específicos"	"6311 6350"	"SCTID: 65853000"
"caso_clinico_psiquiatria25"	"pasa por distintos colegios"	"2354 2381"	"SCTID: 65853000"
"caso_clinico_psiquiatria25"	"abandona los estudios"	"2475 2496"	"SCTID: 65853000"
"caso_clinico_psiquiatria25"	"inicia diversos cursos"	"5667 5689"	"SCTID: 65853000"
"caso_clinico_psiquiatria25"	"ha sido capaz de iniciar un curso"	"7496 7529"	"SCTID: 65853000"
"caso_clinico_psiquiatria28"	"retomar los estudios"	"443 463"	"SCTID: 65853000"
"caso_clinico_psiquiatria28"	"tenía en el instituto"	"4218 4239"	"SCTID: 65853000"
"caso_clinico_psiquiatria26"	"estudiante"	"713 723"	"SCTID: 65853000"
"caso_clinico_psiquiatria27"	"Había dejado los estudios"	"1048 1073"	"SCTID: 65853000"
"caso_clinico_psiquiatria17"	"inicia las etapas preescolar"	"2141 2169"	"SCTID: 65853000"
"caso_clinico_psiquiatria17"	"inicia las etapas preescolar y primaria"	"2141 2180"	"SCTID: 65853000"
"caso_clinico_psiquiatria12"	"estudios, que abandonó"	"270 292"	"SCTID: 65853000"
"caso_clinico_psiquiatria18"	"estudiando"	"842 852"	"SCTID: 65853000"
"caso_clinico_psiquiatria18"	"dedicándose a preparar oposiciones"	"94 128"	"SCTID: 65853000"
"caso_clinico_psiquiatria18"	"preparación de oposiciones"	"799 825"	"SCTID: 65853000"
"caso_clinico_psiquiatria18"	"continuando sus estudios"	"3018 3042"	"SCTID: 65853000"
"caso_clinico_psiquiatria18"	"decide preparar oposiciones"	"3253 3280"	"SCTID: 65853000"
"caso_clinico_psiquiatria104"	"abandona estudios"	"7983 8000"	"SCTID: 65853000"
"caso_clinico_psiquiatria104"	"empieza una formación profesional"	"8019 8052"	"SCTID: 65853000"
"caso_clinico_psiquiatria15"	"abandonar la Educación"	"737 759"	"SCTID: 65853000"
"caso_clinico_psiquiatria105"	"Terminó el 4o año de educación primaria"	"2496 2535"	"SCTID: 65853000"
"caso_clinico_psiquiatria105"	"concluyendo segundo de bachillerato"	"2697 2732"	"SCTID: 65853000"
"caso_clinico_psiquiatria105"	"preescolar"	"5076 5086"	"SCTID: 65853000"
"caso_clinico_psiquiatria19"	"prepara la selectividad"	"3458 3481"	"SCTID: 65853000"
"caso_clinico_psiquiatria19"	"estudia"	"3499 3506"	"SCTID: 65853000"
"caso_clinico_psiquiatria11"	"ha completado estudios primarios"	"330 362"	"SCTID: 65853000"
"caso_clinico_psiquiatria109"	"Realiza un ciclo formativo"	"419 445"	"SCTID: 65853000"
"caso_clinico_psiquiatria13"	"estudiante"	"408 418"	"SCTID: 65853000"
"caso_clinico_psiquiatria13"	"Estudia"	"295 302"	"SCTID: 65853000"
"caso_clinico_psiquiatria116"	"decidió dejar la educación"	"5971 5997"	"SCTID: 65853000"
"caso_clinico_psiquiatria116"	"estudiar música"	"6003 6018"	"SCTID: 65853000"
"caso_clinico_psiquiatria33"	"abandono de los estudios"	"977 1001"	"SCTID: 65853000"
"caso_clinico_psiquiatria79"	"ha realizado estudios escolares elementales"	"278 321"	"SCTID: 65853000"
"caso_clinico_psiquiatria81"	"estudiante"	"313 323"	"SCTID: 65853000"
"caso_clinico_psiquiatria3"	"abandono del colegio"	"817 837"	"SCTID: 65853000"
"caso_clinico_psiquiatria67"	"compañeros de la escuela"	"1580 1604"	"SCTID: 65853000"
"caso_clinico_psiquiatria49"	"estudiante"	"5814 5824"	"SCTID: 65853000"
"caso_clinico_psiquiatria49"	"compañero suyo de universidad"	"1694 1723"	"SCTID: 65853000"
"caso_clinico_psiquiatria119"	"fi nalizó el graduado escolar"	"1179 1208"	"SCTID: 65853000"
"caso_clinico_psiquiatria43"	"acudía a un colegio privado"	"534 561"	"SCTID: 65853000"
"caso_clinico_psiquiatria111"	"finalizó los estudios primarios"	"2032 2063"	"SCTID: 65853000"
"caso_clinico_psiquiatria31"	"estudiante"	"1181 1191"	"SCTID: 65853000"
"caso_clinico_psiquiatria115"	"Estudiante"	"85 95"	"SCTID: 65853000"
"caso_clinico_psiquiatria211"	"recibe formación académica"	"5021 5047"	"SCTID: 65853000"
"caso_clinico_psiquiatria373"	"compañeros de clase"	"8366 8385"	"SCTID: 65853000"
"caso_clinico_psiquiatria373"	"compañeros del colegio"	"8075 8097"	"SCTID: 65853000"
"caso_clinico_psiquiatria373"	"Acudió a la guardería"	"2631 2652"	"SCTID: 65853000"
"caso_clinico_psiquiatria151"	"alumna"	"8014 8020"	"SCTID: 65853000"
"caso_clinico_psiquiatria151"	"compañeros de clase"	"1242 1261"	"SCTID: 65853000"
"caso_clinico_psiquiatria151"	"Cursa 1o de E.S.O."	"76 94"	"SCTID: 65853000"
"caso_clinico_psiquiatria151"	"alumnos"	"6141 6148"	"SCTID: 65853000"
"caso_clinico_psiquiatria151"	"alumnos"	"8331 8338"	"SCTID: 65853000"
"caso_clinico_psiquiatria151"	"alumnos"	"8501 8508"	"SCTID: 65853000"
"caso_clinico_psiquiatria452"	"Tituló la educación secundaria"	"918 948"	"SCTID: 65853000"
"caso_clinico_psiquiatria514"	"compañero de clase"	"8037 8055"	"SCTID: 65853000"
"caso_clinico_psiquiatria514"	"compañeros de clase"	"4146 4165"	"SCTID: 65853000"
"caso_clinico_psiquiatria514"	"estudiante"	"2138 2148"	"SCTID: 65853000"
"caso_clinico_psiquiatria514"	"iniciaba sus estudios"	"1282 1303"	"SCTID: 65853000"
"caso_clinico_psiquiatria514"	"volver a estudiar"	"7655 7672"	"SCTID: 65853000"
"caso_clinico_psiquiatria461"	"repite 3o de la ESO"	"1901 1920"	"SCTID: 65853000"
"caso_clinico_psiquiatria456"	"estudiante"	"1419 1429"	"SCTID: 65853000"
"caso_clinico_psiquiatria456"	"Finaliza los Estudios Generales Básicos"	"1482 1521"	"SCTID: 65853000"
"caso_clinico_psiquiatria555"	"estudiante"	"1289 1299"	"SCTID: 65853000"
"caso_clinico_psiquiatria551"	"abandona estudios"	"1455 1472"	"SCTID: 65853000"
"caso_clinico_psiquiatria544"	"estudiante en un módulo"	"529 552"	"SCTID: 65853000"
"caso_clinico_psiquiatria416"	"Abandono de los estudios"	"788 812"	"SCTID: 65853000"
"caso_clinico_psiquiatria416"	"cursó hasta 1o de ESO"	"828 849"	"SCTID: 65853000"
"caso_clinico_psiquiatria405"	"Estudió hasta 3o de ESO"	"108 131"	"SCTID: 65853000"
"caso_clinico_psiquiatria552"	"iniciar formación"	"2249 2266"	"SCTID: 65853000"
"caso_clinico_psiquiatria370"	"Cursa 3o ESO"	"1914 1926"	"SCTID: 65853000"
"caso_clinico_psiquiatria542"	"en el colegio"	"2523 2536"	"SCTID: 65853000"
"caso_clinico_psiquiatria507"	"Inicia algún curso"	"920 938"	"SCTID: 65853000"
"caso_clinico_psiquiatria364"	"En el colegio"	"8207 8220"	"SCTID: 65853000"
"caso_clinico_psiquiatria364"	"cursa 1o ESO"	"1893 1905"	"SCTID: 65853000"
"caso_clinico_psiquiatria364"	"excompañera de colegio"	"5411 5433"	"SCTID: 65853000"
"caso_clinico_psiquiatria375"	"Estudia 3o de la ESO"	"221 241"	"SCTID: 65853000"
"caso_clinico_psiquiatria363"	"compañeros de clase"	"834 853"	"SCTID: 65853000"
"caso_clinico_psiquiatria363"	"cursa 3o de ESO"	"3060 3075"	"SCTID: 65853000"
"caso_clinico_psiquiatria543"	"abandona la actividad académica"	"514 545"	"SCTID: 65853000"
"caso_clinico_psiquiatria469"	"Estudia un módulo"	"377 394"	"SCTID: 65853000"
"caso_clinico_psiquiatria469"	"Hubo de abandonar los estudios"	"969 999"	"SCTID: 65853000"
"caso_clinico_psiquiatria445"	"En el colegio"	"594 607"	"SCTID: 65853000"
"caso_clinico_psiquiatria368"	"compañeros de clase"	"3754 3773"	"SCTID: 65853000"
"caso_clinico_psiquiatria205"	"Cursó los estudios básicos"	"1188 1214"	"SCTID: 65853000"
"caso_clinico_psiquiatria545"	"estudia"	"1970 1977"	"SCTID: 65853000"
"caso_clinico_psiquiatria545"	"inició estudios universitarios"	"1432 1462"	"SCTID: 65853000"
"caso_clinico_psiquiatria545"	"Estudió hasta 3o de Primaria"	"420 448"	"SCTID: 65853000"
"caso_clinico_psiquiatria545"	"Repitió 4o de ESO"	"821 838"	"SCTID: 65853000"
"caso_clinico_psiquiatria545"	"Terminó bachillerato"	"1030 1050"	"SCTID: 65853000"
"caso_clinico_psiquiatria209"	"abandona los estudios"	"736 757"	"SCTID: 65853000"
"caso_clinico_psiquiatria209"	"Estuvo internada en un colegio"	"695 725"	"SCTID: 65853000"
"caso_clinico_psiquiatria413"	"compañeros del curso"	"4451 4471"	"SCTID: 65853000"
"caso_clinico_psiquiatria489"	"estudios primarios incompletos"	"677 707"	"SCTID: 65853000"
"caso_clinico_psiquiatria179"	"estaba estudiando"	"212 229"	"SCTID: 65853000"
"caso_clinico_psiquiatria179"	"universitario"	"45 58"	"SCTID: 65853000"
"caso_clinico_psiquiatria221"	"estudiante de 3o ESO"	"1488 1508"	"SCTID: 65853000"
"caso_clinico_psiquiatria465"	"Estudios de graduado escolar"	"835 863"	"SCTID: 65853000"
"caso_clinico_psiquiatria465"	"Acudió a escuela nocturna"	"865 890"	"SCTID: 65853000"
"caso_clinico_psiquiatria485"	"Tiene estudios universitarios"	"248 277"	"SCTID: 65853000"
"caso_clinico_psiquiatria369"	"Cursa 3o ESO"	"1921 1933"	"SCTID: 65853000"
"caso_clinico_psiquiatria426"	"graduado escolar"	"492 508"	"SCTID: 65853000"
"caso_clinico_psiquiatria559"	"Estudios de formación profesional"	"202 235"	"SCTID: 65853000"
"caso_clinico_psiquiatria378"	"en el colegio"	"3900 3913"	"SCTID: 65853000"
"caso_clinico_psiquiatria378"	"Inicia la guardería"	"2000 2019"	"SCTID: 65853000"
"caso_clinico_psiquiatria378"	"4oESO"	"2952 2957"	"SCTID: 65853000"
"caso_clinico_psiquiatria378"	"1oESO"	"3040 3045"	"SCTID: 65853000"
"caso_clinico_psiquiatria378"	"4o E.S.O"	"3962 3970"	"SCTID: 65853000"
"caso_clinico_psiquiatria402"	"se encontraba realizando el doctorado"	"756 793"	"SCTID: 65853000"
"caso_clinico_psiquiatria296"	"preparación de oposiciones"	"1874 1900"	"SCTID: 65853000"
"caso_clinico_psiquiatria533"	"Cursó estudios básicos"	"104 126"	"SCTID: 65853000"
"caso_clinico_psiquiatria547"	"no completó la enseñanza secundaria"	"723 758"	"SCTID: 65853000"
"caso_clinico_psiquiatria547"	"retomando actividad académica"	"5420 5449"	"SCTID: 65853000"
"caso_clinico_psiquiatria547"	"terminar sus estudios"	"8278 8299"	"SCTID: 65853000"
"caso_clinico_psiquiatria384"	"abandona estudios"	"7992 8009"	"SCTID: 65853000"
"caso_clinico_psiquiatria384"	"empieza una formación profesional"	"8028 8061"	"SCTID: 65853000"
"caso_clinico_psiquiatria165"	"estudiante"	"18 28"	"SCTID: 65853000"
"caso_clinico_psiquiatria153"	"estudiante"	"327 337"	"SCTID: 65853000"
"caso_clinico_psiquiatria153"	"Está estudiando"	"178 193"	"SCTID: 65853000"
"caso_clinico_psiquiatria460"	"Abandonó los estudios"	"765 786"	"SCTID: 65853000"
"caso_clinico_psiquiatria460"	"Inició la licenciatura"	"717 739"	"SCTID: 65853000"
"caso_clinico_psiquiatria539"	"Cursó sus estudios primarios"	"221 249"	"SCTID: 65853000"
"caso_clinico_psiquiatria539"	"realiza un curso"	"2822 2838"	"SCTID: 65853000"
"caso_clinico_psiquiatria494"	"Realizó estudios"	"486 502"	"SCTID: 65853000"
"caso_clinico_psiquiatria491"	"Posee estudios básicos"	"406 428"	"SCTID: 65853000"
"caso_clinico_psiquiatria491"	"repetía cursos"	"487 501"	"SCTID: 65853000"
"caso_clinico_psiquiatria436"	"abandonó los estudios universitarios"	"1252 1288"	"SCTID: 65853000"
"caso_clinico_psiquiatria560"	"Estudios primarios"	"215 233"	"SCTID: 65853000"
"caso_clinico_psiquiatria393"	"Estudios de Primaria y Secundaria"	"1691 1724"	"SCTID: 65853000"
"caso_clinico_psiquiatria379"	"alumno de necesidades educativas especiales"	"4244 4287"	"SCTID: 65853000"
"caso_clinico_psiquiatria379"	"Ha realizado hasta 4o ESO"	"4449 4474"	"SCTID: 65853000"
"caso_clinico_psiquiatria423"	"abandona los estudios"	"1558 1579"	"SCTID: 65853000"
"caso_clinico_psiquiatria423"	"estudiante"	"1700 1710"	"SCTID: 65853000"
"caso_clinico_psiquiatria423"	"Inició estudios"	"1712 1727"	"SCTID: 65853000"
"caso_clinico_psiquiatria479"	"había abandonado los estudios"	"542 571"	"SCTID: 65853000"
"caso_clinico_psiquiatria429"	"abandonado sus estudios"	"983 1006"	"SCTID: 65853000"
"caso_clinico_psiquiatria429"	"Comienza a continuación estudios"	"1468 1500"	"SCTID: 65853000"
"caso_clinico_psiquiatria481"	"Escolarizada hasta los 9 años"	"494 523"	"SCTID: 65853000"
"caso_clinico_psiquiatria411"	"Realizó Graduado Escolar"	"704 728"	"SCTID: 65853000"
"caso_clinico_psiquiatria365"	"comenzó estudios en internado"	"677 706"	"SCTID: 65853000"
"caso_clinico_psiquiatria365"	"Inició 2o de educación secundaria"	"856 889"	"SCTID: 65853000"
"caso_clinico_psiquiatria365"	"en 4o de educación secundaria"	"1140 1169"	"SCTID: 65853000"
"caso_clinico_psiquiatria455"	"Completa la Educación Secundaria"	"2151 2183"	"SCTID: 65853000"
"caso_clinico_psiquiatria310"	"consiguiendo finalizar el graduado escolar"	"494 536"	"SCTID: 65853000"
"caso_clinico_psiquiatria310"	"abandonar los estudios"	"456 478"	"SCTID: 65853000"
"caso_clinico_psiquiatria307"	"Finaliza estudios básicos"	"699 724"	"SCTID: 65853000"
"caso_clinico_psiquiatria484"	"Inició la escolarización"	"700 724"	"SCTID: 65853000"
"caso_clinico_psiquiatria222"	"compañeros en el ámbito escolar"	"528 559"	"SCTID: 65853000"
"caso_clinico_psiquiatria201"	"en una escuela de música privada."	"1117 1150"	"SCTID: 65853000"
"caso_clinico_psiquiatria548"	"Estudios primarios"	"487 505"	"SCTID: 65853000"
"caso_clinico_psiquiatria319"	"estudiante"	"1676 1686"	"SCTID: 65853000"
"caso_clinico_psiquiatria464"	"estudiantes"	"677 688"	"SCTID: 65853000"
"caso_clinico_psiquiatria464"	"estudios universitarios"	"633 656"	"SCTID: 65853000"
